,1,2,3
0.74,7.448885171516231e-07,2.528652988416119e-07,8.490877677541133e-12
0.75,7.672618044040435e-07,2.666463328902746e-07,9.43918232181163e-12
0.76,7.902759650752405e-07,2.811452063863565e-07,1.0491022413757949e-11
0.77,8.139483365086164e-07,2.9639738261744717e-07,1.1657428599682273e-11
0.78,8.382966926170662e-07,3.124399685205269e-07,1.295057590525967e-11
0.79,8.633392538753825e-07,3.293117849811327e-07,1.438389905504403e-11
0.8,8.890946975114063e-07,3.470534398309576e-07,1.5972219044880047e-11
0.81,9.155821678989278e-07,3.6570740363203837e-07,1.7731882026487144e-11
0.8200000000000001,9.428212871554863e-07,3.8531808833758547e-07,1.9680911659147575e-11
0.8300000000000001,9.708321659482396e-07,4.059319289215139e-07,2.1839176187399663e-11
0.84,9.996354145110091e-07,4.275974680710099e-07,2.4228571616512185e-11
0.85,1.0292521538754708e-06,4.5036544403852085e-07,2.687322248002502e-11
0.86,1.0597040273200708e-06,4.742888817516943e-07,2.979970182659042e-11
0.87,1.0910132120393827e-06,4.994231872817408e-07,3.303727219748157e-11
0.88,1.1232024310375046e-06,5.258262457731842e-07,3.661814952254745e-11
0.89,1.1562949652483394e-06,5.535585229394992e-07,4.057779203178135e-11
0.9,1.1903146658865483e-06,5.826831702321103e-07,4.4955216463281324e-11
0.91,1.2252859670317523e-06,6.13266133791079e-07,4.979334404723665e-11
0.92,1.2612338984496426e-06,6.453762672891158e-07,5.513937896089682e-11
0.93,1.298184098653429e-06,6.790854487817648e-07,6.104522218246864e-11
0.9400000000000001,1.3361628282084013e-06,7.144687016790747e-07,6.756792392404782e-11
0.9500000000000001,1.3751969832833136e-06,7.51604319955631e-07,7.477017809632603e-11
0.96,1.4153141094516878e-06,7.905739977183133e-07,8.272086255265602e-11
0.97,1.456542415746543e-06,8.314629632526588e-07,9.14956291786661e-11
0.98,1.4989107889715181e-06,8.743601176705445e-07,1.0117754823767118e-10
0.99,1.5424488082720167e-06,9.19358178284225e-07,1.1185781175415627e-10
1.0,1.58718675996965e-06,9.665538268328938e-07,1.2363650111851527e-10
1.01,1.6331556526630611e-06,1.0160478626899444e-06,1.3662342452938929e-10
1.02,1.6803872325986082e-06,1.0679453611807753e-06,1.5093903035727677e-10
1.03,1.7289139993143203e-06,1.1223558371426203e-06,1.667154030162751e-10
1.04,1.7787692215603162e-06,1.179393413858907e-06,1.840973484741393e-10
1.05,1.829986953498737e-06,1.2391769975026802e-06,2.0324357711571533e-10
1.06,1.8826020511870506e-06,1.301830457224537e-06,2.2432799230448153e-10
1.07,1.936650189347522e-06,1.3674828110216153e-06,2.47541093665794e-10
1.08,1.9921678784261926e-06,1.4362684175255556e-06,2.7309150484472566e-10
1.09,2.0491924819449207e-06,1.508327173848537e-06,3.012076362775788e-10
1.1,2.1077622341493124e-06,1.5838047196265455e-06,3.3213949435945225e-10
1.11,2.167916257955984e-06,1.6628526474003665e-06,3.661606492988635e-10
1.12,2.2296945832025196e-06,1.745628719475499e-06,4.035703749256637e-10
1.1300000000000001,2.2931381652027564e-06,1.8322970914020981e-06,4.4469597476509744e-10
1.1400000000000001,2.358288903611179e-06,1.9230285422166787e-06,4.898953098166594e-10
1.1500000000000001,2.425189661599145e-06,2.018000711587188e-06,5.395595446827489e-10
1.16,2.4938842853459367e-06,2.1173983440032642e-06,5.941161299860712e-10
1.17,2.5644176238484217e-06,2.2214135401528734e-06,6.540320404045035e-10
1.18,2.636835549051335e-06,2.330246015626781e-06,7.198172891380498e-10
1.19,2.711184976301719e-06,2.4441033670900807e-06,7.920287412183975e-10
1.2,2.7875138851307394e-06,2.563201346060966e-06,8.712742497771506e-10
1.21,2.8658713403650095e-06,2.6877641404351567e-06,9.582171412164662e-10
1.22,2.946307513570964e-06,2.8180246638917874e-06,1.0535810771818172e-09
1.23,3.028873704834884e-06,2.9542248533172815e-06,1.1581553233262687e-09
1.24,3.1136223648810938e-06,3.0966159743792724e-06,1.2728004570905892e-09
1.25,3.200607117531178e-06,3.2454589353832946e-06,1.398454549115625e-09
1.26,3.289882782507086e-06,3.4010246095397077e-06,1.5361398554482716e-09
1.27,3.3815053985805306e-06,3.5635941657673585e-06,1.6869700604326604e-09
1.28,3.475532247070761e-06,3.733459408157581e-06,1.8521581130785801e-09
1.29,3.572021875694088e-06,3.910923124216969e-06,2.033024702804429e-09
1.3,3.6710341227667245e-06,4.096299442005886e-06,2.231007423752449e-09
1.31,3.7726301417631636e-06,4.289914196283641e-06,2.4476706803967533e-09
1.32,3.8768724262336284e-06,4.492105303768581e-06,2.684716390919551e-09
1.33,3.983824835080752e-06,4.703223147615479e-06,2.943995548819087e-09
1.34,4.093552618199073e-06,4.923630971206956e-06,3.22752070746233e-09
1.35,4.206122442478737e-06,5.153705281351808e-06,3.537479456823681e-09
1.36,4.3216024181747975e-06,5.393836260974394e-06,3.8762489664401016e-09
1.37,4.440062125645386e-06,5.644428191377774e-06,4.246411673734549e-09
1.3800000000000001,4.561572642458518e-06,5.9058998841489944e-06,4.650772202268586e-09
1.3900000000000001,4.6862065708700714e-06,6.178685122774084e-06,5.092375600245117e-09
1.4000000000000001,4.814038065674879e-06,6.463233114020396e-06,5.57452699568991e-09
1.41,4.945142862430977e-06,6.760008949133529e-06,6.100812771202971e-09
